XX,text
KITZING_L_2020_AN_EVOLVING_RISK_PERSPECT,"we develop the concept of evolving risk to demonstrate that the optimal policy choice between price and quantity instruments may change over time. drawing from system innovation, evolutionary concepts and modern financial and transaction cost economics, we analyze dynamic cost and welfare impacts of instrument choice under uncertainty. in early market deployment of niche technologies, economic and system-innovation arguments suggest price instruments can stabilize revenues and decrease market risks for investors. this accelerates deployment without necessarily compromising economic efficiency. protective policies that work well for niche technologies should, however, be used cautiously during market upscaling and diffusion, due to the changing nature of risks. we use theoretic arguments and a case to demonstrate that a gradual shift towards quantity control may become preferable for welfare maximization under certain circumstances. solar photovoltaics in germany serves as illustrative case, where auctions (a form of quantity control) succeeded feed-in tariffs (a price instrument). elsevier b.v."
BACHNER_G_2020_RISK_ASSESSMENT_OF_THE_LO,"to limit global temperature increase below +c, societies need to reduce greenhouse gas emissions radically within the next few decades. amongst other mitigation measures, this requires transforming process-emission intensive industries towards emission neutrality. one way to this end is the renewables-based electrification of industries. we present results of a recent co-production process which brought together stakeholders from industry, policy, administration and science to co-create climate-neutral transition pathways for the steel and electricity sectors in austria. the results summarized here are the definition of reliable pathways and the identification of associated risks pertaining to pathway implementation, including a macro-economic quantification. we find that risks to implementation (barriers) are at least as important as risks of implementation (negative consequences). from the quantitative analysis we find that, provided that barriers can be reduced, macroeconomic costs of the transition are only moderate and that stakeholders might overestimate risks, when neglecting economy-wide feedbacks. the authors"
STILES_J_2020_STRATEGIC_NICHE_MANAGEMEN,"this article presents telework advocacy in the united states as a case of strategic niche management that contributed to an incremental transformation of office work location practice in the united states. in its first decades, telework advocacy showed elements of strategic niche management including vision and expectations, learning processes, and social networks. supported by environmental and economic landscape pressures, trip reduction and travel demand management policies opened up protected spaces at the local, state, or federal levels for the practice of telework, with public agencies as experimenters. niche and incumbent actors shared a strategy of promoting telework in structured circumstances and spoke to organizational and employee benefit alongside societal benefits. yet as landscape pressures lessened, incumbent actors took greater ownership of the innovations of telework, and shifted their vision to one that considers telecommuting as a function of human resources rather than a societal imperative. elsevier b.v."
NIELSEN_J_2019_CONCEPTUALISING_THE_BUILT,"despite the prominence of cities within sustainability transitions, the scholarship has been criticised for its lack of engagement with spatiality. this article engages with physical change in urban environments through a critical scholarly review of interdisciplinary scholarship. this paper deconstructs conceptualisations of the built environment and identifies the similarities, contestations and unaddressed components in conceptualising the built environment across urban morphology, spatial-political economy, urban planning, and urban design. following this, the paper reconstructs the built environment, reflecting on sustainability transitions scholarship. the analysis highlights this physicality as a necessary component for consideration when preparing any form of systemic urban change, especially when attempting to understand multi-sectoral transitions. overall, the review reveals the need for a future research agenda that explicitly explores the role of the built environment and its creators in influencing multi-sectoral sustainability transitions. elsevier b.v."
NORMANN_HE_2019_CONDITIONS_FOR_THE_DELIBE,"this paper contributes to recent developments in the literature concerning the need to destabilise existing industries. challenging established industries through policy can be politically difficult. the purpose of the paper is to draw lessons from examples of the policy-driven destabilisation of established industries and from that, gain a better understanding of which conditions deliberate destabilisation might be possible under. the analytical framework draws together insights from the multilevel perspective and policy process theory. two historical cases are analysed: the introduction of tobacco control policies in the united states and the decision to close down coal mines in the netherlands. in its concluding sections, the paper discusses factors that lead to network change, particularly attending to how tensions within key organisations may lead to changes in alliances and thus provide opportunities for phase-out policies. elsevier b.v."
MHLEMEIER_S_2019_DINOSAURS_IN_TRANSITION,"the understanding of incumbents behaviour in sustainability transitions in the energy sector is gaining increasing scholarly attention. however, two key structural characteristics of many incumbents in the energy sector are hardly taken into account: they are mostly public companies and they are operating in infrastructure network industries. furthermore, studies on incumbents in the energy sector do not consider the multi-scalar situation of federal energy governance systems, as in germany and switzerland. this paper presents six analytical categories, which reveal the specifics of public energy companies and provide categories for a more precise analysis. they are developed through an iterative theory building process, combining empirical evidence from urban utility companies in germany and switzerland and theoretical insights from public corporate governance and network industries literature. finally, the paper discusses, how these categories can be linked to the triple embeddedness framework (geels, ) and transferred to other infrastructure sectors (e.g. the telecommunication or the railway sector) to enrich the understanding of public incumbents in sustainability transitions. elsevier b.v."
MUNRO_FR_2019_RENEWABLE_ENERGY_AND_TRAN,"scotland is being transformed as renewable energy resources are being exploited through new developments and infrastructure as part of an energy transition. scotland has a significant amount of potential onshore and offshore renewable energy available for capture largely located in rural and remote regions. this paper extends the transition-periphery approach developed by murphy and smith () and applies it to a set of case study sites in scotland. this empirical analysis highlights the geographical dynamics being created by the renewable energy transition in scotland. the results suggest that complex transition-periphery dynamics are being created by renewable energy development in scotland in which infrastructure, ownership, and scale have particularly important roles in shaping the transition. this study highlights the need for further research that focuses on resource peripheries in sociotechnical transitions. elsevier b.v."
VAN_OERS_LM_2018_THE_CREATION_OF_LEGITIMAC,"grassroots initiatives for sustainable development are blossoming, offering localised alternatives for a range of societal functions including food and energy. research into grassroots organisations often recognises the difficulties grassroots groups face to continue operations. however, there is a need for better understanding dynamics that enable or constrain grassroots organisational survival. here, we specifically shed light on how such survival is dependent on the organisation's ability to construct legitimacy. in the context of community supported agriculture (csa), we explore different legitimacy types and strategies. we learned that csas predominantly work to garner legitimacy from their members and that survival seems associated with social capital building. in addition, we observed a moralisation of food provision that describes why new and possibly inconvenient terms of exchange still amass legitimacy. as external audiences remain at a distance, they often misunderstand csa, their deliverables and impacts on social welfare. the authors"
BARNES_J_2018_THE_INSTITUTIONALISATION,"the ways in which institutions are reconfigured to change mainstream selection pressures to favour sustainability is central to research on sustainability transitions but has only recently begun to receive more attention. of this existing work, empirical attention has mainly focused on the national level with less attention to local dynamics. attending to this gap, we mobilise theory on institutionalisation processes and insights from the politics of transitions literature and take an actor perspective to investigate the agency of local sustainability initiatives to navigate local governance processes and reconfigure selection environments at the urban scale. our work subsequently demonstrates the importance of diverse actor tactics, of networking for advocacy and of networking for the creation of informal, ad hoc governance arenas. elsevier b.v."
RODDIS_P_2018_ECO_INNOVATION_TO_REDUCE,"wind energy technologies deliver environmental benefits in terms of reduced greenhouse gas emissions. however, they can entail other environmental impacts such as on biodiversity. this article identifies fifteen examples of innovation in the uk wind energy sector that address biodiversity impacts, and seven drivers behind these innovations. examples are categorised into six thematic areas covering eco-process, eco-organisational and eco-product innovations. eco-process and eco-organisational innovations are found to be most sensitive to institutional and political influences (such as regulation), whilst eco-product innovations are most sensitive to supply-side factors (such as cost-saving). these findings contribute to theoretical debates on the determinants of eco-innovation, as well as having implications for policymakers addressing the dual policy objectives of renewable energy deployment and biodiversity conservation. elsevier b.v."
TONGUR_S_2017_EXPLORING_WINDOW_OF_OPPOR,"this paper examines how infrastructure investments could create conditions favoring the commercialization of sustainable niche technologies. while the transition literature has traditionally treated existing infrastructure as a barrier, recent research has emphasized that infrastructure transformation can function as a facilitator, helping sustainable niche technologies break through. however, few have investigated the dynamics of such processes. this paper conceptualizes how window of opportunity dynamics can arise during infrastructure transformation. the paper is based on a case study of the planning of the i- project in southern california, the first infrastructure project in which zero-emission truck technology was to be deployed on a large scale. this paper illustrates how infrastructure transformation can play a contradictory role, acting as a barrier or facilitator depending on the niche empowerment processes. furthermore, this paper addresses the selection mechanisms of infrastructure projects and the interplay between infrastructure design and the business models underlying niche innovations. elsevier b.v."
JOHNSON_VCA_2016_ALTERNATIVE_LIQUID_FUELS,"against a backdrop of growing interest in low carbon alternatives to petroleum derived liquid fuels, this paper analyses two early attempts to develop alternative liquid fuels to rival petrol, the incumbent fuel. we focus on two alternatives manufactured in the uk during the inter-war period (), a power alcohol and a petrol-from-coal. both fuels received government support during a time of rapid growth in the motor industry, fluctuating economic conditions and fears of absolute oil shortages. governance of fuel distribution in particular had significant effects on the economic feasibility of both fuels and their ability to penetrate a market dominated by the oil industry incumbents. the paper presents a rich, complex story of how the development of these fuels interacted with fluctuating political perceptions of energy security, changes in the framing of energy and shifts in governance, in what were to become failed attempts at path creation and transition. elsevier b.v."
MARQUARDT_J_2015_HOW_TRANSITION_MANAGEMENT,"it is argued that transition management can be a useful analytical approach for clarifying how development aid can stimulate economic development. to illustrate this, potential applications are suggested. three similarities between transition management and development aid are identified. in addition, the reverse potential influence, from development aid thinking to transition management, is briefly discussed. elsevier b.v."
BUDDE_B_2015_ON_THE_RELATION_BETWEEN_C,"the automotive industry has proposed and announced a number of technological innovations to reduce the environmental impact of transport. whereas initially many of the proposed technologies were surrounded by very optimistic expectations, many technological innovations are not commercially available yet and expectations eventually turned into disappointment. the hypes concerning these alternative drivetrain technologies collapsed when optimistic announcements could not be met, within the proposed timeframe. this paper analyzes the relation between research and development activities (innovation activities) and communication activities in the automotive industry using patent statistics, press releases and interviews. the analysis reveals that the underlying characteristics of the specific technology have an influence on the relation between communication and innovation activities. when innovations depend on the build-up of a new infrastructure actors have a strong incentive to raise expectations. this suggests that the specific shape of the hype cycle is depending on the complexity of the technology. elsevier b.v."
SCHOR_JB_2014_CLIMATE_DISCOURSE_AND_ECO,"global progress on climate change has been stalled since the financial collapse. i consider the case of the united states and how the crash and subsequent stagnation have reduced prospects for climate solutions at the national level. i focus on discourse and the economic and cultural framing of climate protection and the environment as a luxury good, unaffordable in recessionary times. as a solution to this paralyzing framework, i consider the emergence of ""new economics,"" which employs an alternative framing at the local and regional level. new economics is fostering the creation of new forms of ownership in a range of enterprise structures that also contribute to sustainability and greenhouse gas reductions. elsevier b.v."
RENNINGS_K_2014_INTRODUCTION_GLOBAL_DIFF,"a brief introduction to the special issue on ""global diffusion of environmental innovations"" is provided. it focuses on the role of lead markets in stimulating international diffusion of environmentally relevant innovations. the relevance of this theme is motivated, core questions are formulated and the added value of the special issue is elaborated. summaries of the five contributions are presented. the editorial ends with offering a number of avenues for future research on lead markets in relation to environmental innovations. elsevier b.v. all rights reserved."
LOWES_R_2020_HEATING_IN_GREAT_BRITAIN,"the power of incumbent actors to affect sustainability transitions is increasingly recognised as a central issue associated with systemic change. however, incumbent's approaches and the outcome of their influence is rarely examined in academic literature. using a novel approach which combines the lens of discourse coalitions with an explicitly critical discursive stance, in which the coalition's storyline is scrutinised, this interdisciplinary analysis investigates a pro-gas, incumbent led coalition present in the great britain (gb) energy system. in response to the threat of electrification, the coalition presents decarbonising the gas grid with replacement gases as the optimal route for heat decarbonisation. however, much analysis suggests a significant need for heat electrification and our review highlights major uncertainties with a decarbonised gas pathway. incumbents are over-selling 'green-gas' to policy makers in order to protect their interests and detract from the importance and value of electrification. policy and research recommendations are made. the authors"
RUNHAAR_H_2020_ENDOGENOUS_REGIME_CHANGE,"sustainability transitions are commonly considered impossible without regime change. theoretical work on regime change has mainly focused on niches and landscapes and less on change from within. empirical analysis helps theorising endogenous regime change. conceptualising regimes as semi-coherent entities composed of multiple institutional logics, we analyse the endogenous regime change in dutch dairy farming. practices in this sector have become more and more market-driven. this dominant logic however was increasingly challenged by institutional logics centring round cultural identity and sustainability. tensions particularly centred round the increased indoor housing of cows. the contestation of this practice eventually led to a first crack in the regime, as it weakened the dominance of the market logic and enabled opportunities for more sustainability. our case study shows that the presence of alternative institutional logics is necessary to crack the regime, but opportunities to patch it back together are similarly crucial to enable sustainability transitions. the author(s)"
GRANDIN_J_2020_WHAT_STICKS_EPHEMERALITY,"climate change is increasingly governed through local configurations that are characterised by voluntary action, weak institutions and uncoordinated efforts. the impermanent and iterative nature of such initiatives makes it difficult to determine their enduring and potentially transformative impact. this review systematises how the sustainability transitions field has approached temporary initiatives. it finds broad agreement on the difficulty of sustaining local transitions, but little analytical engagement with how temporary initiatives shape transition pathways over time. the review therefore proposes a typology of temporal dimensions to help assess the dynamics between ephemerality and permanence in local transitions. by mapping the recent empirical sustainability transitions literature along these dimensions, ephemerality is found to be ubiquitous in local initiativesthere is a lot happening that does not endure but serves other functions. actors deploy a range of local strategies directed at either formalising initiatives or retaining relevance by reinventing themselves, thus routinising sustainability transitions."
HALBE_J_2020_PARTICIPATORY_MODELING_FO,"participatory modeling the involvement of stakeholders in the modeling process can support various objectives, such as stimulating learning processes or promoting mutual understanding of stakeholders. participatory modeling approaches could therefore be useful for the governance of transitions, but a systematic account of potential application areas of participatory modeling methods in transition governance is still lacking. this article addresses this gap by providing a review of participatory modeling methods and linking them to phases and objectives of transition governance. we reviewed participatory modeling studies in transition research and related fields of social-ecological modeling, integrated assessment and environmental management. we find that participatory modeling methods are mostly used for participatory visioning and goal setting as well as for interactive strategy development. the review shows the potential for extending the application of participatory modeling methods to additional phases of transition governance and for the exchange of experiences between research fields. elsevier b.v."
LIN_X_2020_INTER_NICHE_COMPETITION_O,"this paper investigates the drivers, benefits and barriers of battery electric vehicle (bev) development and an ongoing bev transition in iceland from a sociotechnical perspective. we focus on the following research questions: ) what are the most promising driving forces behind bev growth? ) why are bevs restricted mostly to the niche level? ) what are the possible opportunities for bev future development? and ) how viable are bevs as a solution to harnessing low-carbon renewable sources in iceland? the study uses original qualitative data comprising research interviews involving experts from a wide range of sectors. the conceptual framework of multi-mode interaction, or inter-niche competition, is incorporated into the mlp to illustrate the interaction between bevs and other technologies, in particular, plugin hybrid electric vehicles. we find that bevs may take de-alignment and re-alignment pathway or reconfiguration pathway depending on the multi-technology interaction modes. elsevier b.v."
SKJLSVOLD_TM_2020_TEMPORAL_ECHOES_AND_CROSS,"this article analyses the norwegian electric vehicle transition from a socio-technical perspective, shedding light on the emergence of one of the most important ev markets globally. the norwegian strategy to promote this transition is often understood as a set of targeted policies to create ev demand. here, we illustrate how visions and incentives for a norwegian ev transition have emerged over a period of years, highlighting how many of the incentives were actually introduced as mechanisms to stimulate the creation of a norwegian ev industry niche. conceptually, we contribute to understandings of the complex geographies of niche creation through discussions of how local policies can have trans-local and global effects. further, we identify dynamics we describe as temporal echoes, which illustrate how visions, strategies or policies introduced at a specific point in time to serve a particular purpose might unexpectedly re-appear later, transformed, to serve different purposes. the authors"
KOLK_A_2020_THE_POTENTIAL_OF_SUSTAINA,"this article points at insights from the subfields of international business and strategic management that are relevant for sustainability transitions research. specifically, building on the emergent mainstream literature on generic digital platforms, we explain how a range of digital platform multinationals has emerged which address sustainability challenges, and highlight their potential for accelerating multi-sector transitions across geographies. the article does not cover contested platforms such as airbnb and uber, but focuses on sustainability-oriented digital platform multinationals (so-dpms), which directly tackle social and/or environmental issues by enabling new linkages between individuals and/or organizations. these so-dpms deserve more research attention because of their ability to affect sustainability transitions in their own (home) and foreign (host) countries, and realize interconnections and replication across borders. besides explicating their relevance for sustainability transitions research, we propose promising areas for investigation, considering so-dpms, actors in their networks, and society more broadly. the authors"
BERKA_AL_2020_EXPLAINING_INCLUSIVITY_IN,"international literature on citizen, local and community energy (lce) has grown exponentially but has focussed on european and north american context. this paper contributes to understanding inclusivity in country-specific energy transition pathways, setting out an empirical analysis of grassroots energy innovation practices in a country that has to date followed an incumbent-led energy transition pathway aotearoa (new zealand). a groundswell of emerging lce initiatives face protracted feasibility stages and high failure rates, primarily due to lack of market access and risk exposure, and a lack of policy co-ordination and streamlining, with no popularised articulation of a collective energy transition strategy as such. barring changes in discourse, regulation, and institutional arrangements, future lce development is likely to be oriented primarily to accommodate utility-scale renewable energy through energy efficiency and demand side management. within this unsupportive regime context however, we observe uniquely resourced forms of lce, and identify strategies and policies for a more inclusive pathway. our findings reveal the limits of grassroots agency and the dependence of wider diffusion of lce on an enabling institutional context, suggesting there are understudied transition pathways in which opportunities for lce are relatively constrained. the authors"
HOPKINS_D_2020_NOT_MORE_BUT_DIFFERENT_A,"the sustainability transitions research network research agenda reflects the impressive growth and diversity of sustainability transitions scholarship, premised on an ethos of interdisciplinarity and openness to other research traditions and informed by increasingly diverse empirical case studies. nonetheless, an inclination to integrate concepts, ideas and logics from elsewhere into foundational core sustainability transitions research (str) frameworks (e.g. multi-level perspective, technological innovation systems) can be observed. this potentially constrains the development of new concepts, ideas and logics within transition research. we therefore stress the importance of theoretical pluralism and in particular of starting the analysis of transition processes from within alternative frameworks and working through transition processes with those frameworks on their own terms. the risks and opportunities of more radical theoretical pluralism in str are considered, and preliminary examples are presented from foucauldian and post/decolonial traditions. elsevier b.v."
FLYNN_A_2019_GOVERNANCE_OF_THE_CIRCULA,"wastes, like other materials, have become increasingly global in their flows. the circular economy (ce) is a multi-level sustainability transition linked to the global trade in waste. china has long been a key trading partner for the west's waste materials. however, its rethinking of the quality of traded recyclable materials has triggered a crisis in the global governance of waste flows. we utilise a sociology of knowledge approach to undertake comparative work to better understand how different governance arrangements may facilitate or constrain the unfolding of a ce transition. the uk and china were selected as models of liberal and authoritarian environmental governance respectively. a mixed-method approach was pursued using qualitative interviews with key stakeholders and analysis of quantitative and qualitative data from secondary sources. thematic analysis is organised around: perceptions of the circular economy, meanings of standards, and perspectives on trade and materials. elsevier b.v."
MOALLEMI_EA_2019_COPING_WITH_UNCERTAINTIES,"modelling is an important approach for analysing the behaviour of sustainability transitions. however, the presence of uncertainty challenges the usefulness of models and our inference from model results. we use the example of the matisse agent-based model to examine conditions for a transition to a public transport mobility regime under uncertainty in the uk. we use exploratory modelling to investigate the regions of model uncertainty in a structured way. model results are generated from a wider range of input values compared to that applied normally in transitions modelling. a stochastic description of the pathways of adoption of different mobility lifestyles is developed. our approach identifies possible transition pathways under an uncertain future in response to ranges of behavioural changes of households. a sensitivity analysis over the critical behavioural parameters also shows how the interactions between households and mobility lifestyle niches are determined by the dynamics of household behaviours. elsevier b.v."
SOVACOOL_BK_2019_TRANSFORMATIVE_VERSUS_CON,"the automotive industry is a critically important stakeholder influencing the sustainability of passenger transport. how traditional car manufacturers respond to carbon reduction and vehicle targets, alongside other selection pressures, can greatly influence the availability and affordability of new innovations such as electric vehicles. in this paper, we explore the automotive innovation styles surrounding two electric vehicles: the bmw i, and the fiat e. to do so, we tie together ideas from technological innovation systems and corporate product innovation style. our results illustrate a case of a compliance car, the fiat e, vs. the first mass production ev by a major german car manufacturer, the bmw i. bmw adheres to a transformative change-shaping innovation style that attempts to promote in-house learning that can create value. fiat adheres to a conservative sustaining innovation style that attempts to outsource innovation, promotes limited learning, and focuses on maintaining value. both styles interestingly result in converging product development patterns over time. elsevier b.v."
ARAPOSTATHIS_S_2019_STEERING_THE_C_DAY_INSIG,"the article studies the steering strategies pursued during a major sociotechnical transition in the then state-owned british gas industry. we focus on the ten-year () national project to convert million appliances to run on natural gas instead of manufactured gas. the article: a. addresses the issue of steering in the multi-faceted, complex process of conversion and identifies the context of and challenges faced by the natural gas conversion programme in the s and how actors responded and coordinated action; b. identifies modes of steering followed by key actors and institutions of the period; c. identifies essential precursors for this successful steering, including: the recognition of the challenges the industry faced in the pre-transition years; an openness to experimentation, r-and-d and organizational and technical change; and harmonious relations with government. we argue that the steering approach needs to combine an emphasis on planning and institutional and regulatory innovation with aspects of the mundane governance approach. our analysis shows, with reference to the uk's low-carbon gas transition, that while rapid, planned transitions are achievable, they may require complex, demanding forms of steering and governance that may prove hard to achieve in today's socioeconomic and political conditions. elsevier b.v."
NOEL_L_2019_CONSPICUOUS_DIFFUSION_TH,"this paper explores how conceptions of luxury and status affect the manner in which a relatively novel technologyan electric vehicle diffuses across societies. to do so, it combines veblen's notion of conspicuous consumption and roger's diffusion of innovation by proposing a new theoretical variation, which we term conspicuous diffusion. the paper sketches natural connections between the two theories, namely how conspicuous consumption relates to technological and societal development, and how diffusion of innovation is intrinsically connected to status. in combining these approaches, we hypothesize that the success of an innovation is guided by its adherence to the canons of conspicuousness and conspicuous value, which it loses as the innovation diffuses across the population. to illustrate the explanatory power of conspicuous diffusion, we examine the status of electric vehicles in the nordic region, based on original data from multiple methods, including expert interviews and focus groups. we find that conspicuous diffusion can explain previous failures and current successes of electric vehicle diffusion patterns. the paper concludes with recommendations for policymakers, industry, and academia. elsevier b.v."
SHEN_W_2019_ADAPTIVE_POLICY_INNOVATIO,"harnessing market instruments of climate governance, such as emission trading schemes (ets) into an authoritarian and highly fragmented governance system like china can be challenging. it requires tremendous efforts from local states for policy experiments and innovations. this paper examines these local adaptive measures to develop pilot ets around china. the key finding is that these local policy innovations have played an important role to kick off carbon trading activities effectively, by addressing a number of challenges such as highly imbalanced economic and political contexts, very limited emissions data and technological capacity, and low participants awareness of ets. the implications of such policy innovations to the construction of a nationwide ets system are also discussed. some of local policy innovations can be legitimised and adopted into the design of national carbon market, while others are more likely appreciated only at initial stage of market development at local level. elsevier b.v."
CELATA_F_2018_THE_POLICING_OF_COMMUNITY,"the aim of the paper is to show the inherent ambivalence of the relationship between policy-making and grassroots urban gardening initiatives. the voluntarism, variety and multiple meanings of community gardening, it is argued, is hardly compatible with the regulatory anxiety and isomorphic pressures that most policy schemes imply. the regulation of community gardening, in this frame, is very often caught in a delicate balance of promotion and control, co-optation and policing and risks to exacerbate already existing distinctions between collaborative and confrontational initiatives. we believe that addressing this ambivalence is crucial to a proper understanding of the socio-political meaning of community gardening, and of the problematic relationship between communities self-organization, sustainable transitions, and urban governance in an age of austerity and neoliberalism. the topic is addressed with reference to the city of rome, italy, in light of a recently approved regulation for community gardening. elsevier b.v."
KUOKKANEN_A_2016_NOT_ONLY_PEASANTS_ISSUE,"system innovation is often postulated as being able to solve wicked problems. however, it is unclear whether system innovation truly fits into the prevailing innovation system. when the finnish government committed finland to becoming a role model for nutrient recycling in , it underscored the need for systemic change in the food system. as opposed to the existing linear and open-ended food system, a circular nutrient economy would require both structural and functional changes in both production and consumption, by means of technological, institutional, and social changes across numerous sectors simultaneously. we collected stakeholders perceptions of the barriers to the transition towards a more sustainable nutrient economy. the results were mapped into a failure framework that indicated that the policy-governance interface lacks directionality and coordination, while the enterprise-market interface creates inadequate demand articulation. furthermore, the resilience of deep-rooted structures was found to be critical and deserves more attention. elsevier b.v."
HENRY_M_2021_THE_BATTLE_OF_THE_BUZZWOR,"circular economy (ce) and sharing economy (se) are much discussed concepts but potential links between them have not been examined systematically so far. the concepts popularity coupled with a lack of definitional consensus may hinder their potential to advance sustainability transitions. hence, the first comparative bibliometric study of these two concepts was carried out. it was found that they share notable links in the fields of sustainability, business models, sustainable consumption and governance. business model literature reveals links mostly in the realms of platform- and service-based activities. the field of se has a strong consumer focus but, unlike ce, barely addressed rebound effects so far. governance literature shows a general top-down dynamic driving ce, while se is considered to be bottom-up. se is conceptualized as a subset of ce which opens possibilities for mutual enrichment. the findings aim to provoke more dialogue between the ce and se communities. elsevier b.v."
HOOGSTRAATEN_MJ_2020_THE_STUDY_OF_INSTITUTIONA,"innovations accompanying transitions often prompt institutional change if they do not match with existing institutions. transition studies started to incorporate institutional dynamics into their research, but efforts hitherto remain underdeveloped. in this paper, we systematically review the institutional entrepreneurship literature. based on a reading of empirical cases, we identify trends and biases in the literature and we distil a number of insights for transition studies to engage with. the authors"
SHARMA_T_2020_A_NEW_HYBRID_APPROACH_FOR,"we combine energy systems optimization models (esom), multi-criteria assessment (mca) and a stakeholder workshop to evaluate decarbonization risks, trade-offs and opportunities for ireland. using an esom of ireland, we develop decarbonisation scenario ensembles with variations across multiple dimensions, including carbon budget and technology availability as informed by a stakeholder workshop. for these scenario ensembles, we quantify investment risk and technology robustness and use these new attributes to conduct an mca of technology risks, trade-offs and opportunities. results include an assessment of technology opportunities for two investor archetypes, i.e., risk minimizing and return maximizing, and a sensitivity analysis of the mca weights using monte carlo simulation. this represents a new methodology which demonstrates a synthesis of insights into technology opportunities associated with ireland's energy transition and their resilience across risk and economic criteria. by incorporating and displaying results for a diversity of perspectives, this work underlines the importance of transdisciplinary research. elsevier b.v."
BOON_WPC_2020_MARKET_FORMATION_IN_THE_C,"transition studies has recently underscored the need to focus on upscaling and diffusion of innovations. a key question is how these innovations, already existing in niche markets, can become diffused and embedded in broader markets. as a first step, we offer ideas about the design and formation of what one might call markets for transitions. we argue that less attention has been paid to legitimized perceptions of market boundaries, the roles of actors, the interplay between markets, and the process character of market formation. the author(s)"
TANJA_MANDERS_TN_2020_COMPLEXITY_TENSIONS_AND,"in this paper, we demonstrate the complexity of intermediation in practice. intermediaries are seen as crucial actors in a transition process, but so far the transition intermediary literature has had a positive bias towards their role. we mobilize strong structuration theory to develop an analytical perspective that captures how complexity, tensions, and ambiguity influence the transition intermediary's role and activities. we apply the perspective to the case of connecting mobility, a transition intermediary in the dutch smart mobility field. results show that connecting mobility has fulfilled several transition intermediary roles to different degrees, both simultaneously and sequentially, but they also experienced difficulties in fulfilling these. we conclude that the roles and the engagement of transition intermediaries in meaningful activities are a response to their dynamic context and internal learning processes. as an additional consequence, a single transition intermediary's direct impact on the overall transition process should not be overstated. elsevier b.v."
DIGNUM_M_2020_NURTURING_NATURE_EXPLORI,"cities are critical places for the emergence of sustainability transitions. the early phases of transition are often characterised by experimentation. socio-spatial conditions, such as local policy, governance networks, localised learning and funding structures, are known to influence experimentation, yet there is little empirical knowledge on how these conditions contribute. we construct a framework to analyse how these conditions coincide with patterns in urban experimentation, distinguishing between incremental and radical experimentation and between social, technological, and systemic experiments. we introduce a method for large-n analysis and apply this to a database of nbs in european cities. this creates detailed insights into which socio-spatial conditions are associated with particular types of experimentation and how this relates to the urban innovative environment. empirically, this paper focuses on nature-based solutions (nbs), which is an emerging concept for the innovative use of nature to address societal challenges. the authors"
MEIJER_LLJ_2019_ALIGN_ADAPT_OR_AMPLIFY,"since new business models may deviate from the current regime, they require protective spaces, called niches, for their development. the regime both enables and restricts opportunities for designing business models, thereby defining a business model design space that can be dealt with in different ways for niche upscaling. we conducted a qualitative, comparative case study including two types of car sharing business models in sydney. we focused on niche entrepreneurs upscaling strategies in enacting the niche business model design space and observed that entrepreneurs can align with the existing opportunities opposed by the regime. if there is a mismatch, entrepreneurs mostly adapt the internal organization part of their business model to re-align, or use their networks to amplify the current business model design space. this leads to new business model designs and affects either company or niche. sydney may serve as an example for other car dependent cities. the authors"
HITEVA_R_2019_GOVERNANCE_OF_INTERACTION,"this paper uses historical analysis to explore the evolution of interdependencies between the electricity and information and communication technology (ict) sectors in the uk. it explores the role of governance in shaping the interface between these two sectors, and subsequent implications for smart grid innovation. the analysis focuses on three periods between and , with distinct institutional logics: state ownership, privatisation, and transitions to sustainability. the interactions between the electricity and ict sectors are analysed through raven and verbong () typology: competition, symbiosis, integration and spill-over, drawing on social-technical transitions theories and discussed in terms of rules and institutions; actors and networks; and technology, artefacts and infrastructures of socio-technical regimes. the paper finds that a way to encourage more spill-overs and integration between the electricity and the ict sector is through a more symmetrical and integrated governance approach that takes into account the needs and characteristics of both sectors. elsevier b.v."
SRENSEN_KH_2018_ARTICULATIONS_OF_MUNDANE,"this paper analyses sustainability transition agency among consulting engineers, who exercise considerable influence in a wide spectrum of environmental decision-making through advice, calculations and design. they work in an ambiguous space of governmental requirements, environmental politics, cost considerations, and professional standards. nevertheless, many consulting engineers engage with sustainability transitions in a mundane and modest way. to a varying degree, they combine four kinds of transition work: () sustainable technological problem solving, () persuasion work, () mediation work, and () institutional work. on this basis, we propose a model of sustainability transition agency where sustainable technological problem solving is the core activity as a precondition of necessary sociotechnical change. the three latter kinds of transition work may facilitate and support the core activity. the study also shows that environmental regulations, rules and standards are important to sustainability transition work among consulting engineers, guiding but also providing more space for such efforts. elsevier b.v."
BIRTCHNELL_T_2018_ON_THE_VERGE_OF_CHANGE_M,"mobility scooter users provide a practical means through which to better understand socio-technical mobility and low-carbon transitions. the paper offers insights into how socio-technical low-carbon transitions can be influenced by peripheral, disruptive and unanticipated niche-innovations. the article reports on original empirical work conducted with mobility scooter users in a car dependent city, and the ways they negotiate a fossil-fuelled transport system designed for automobiles. concepts from the multi-level perspective (mlp) are applied to better understand how the individual efforts of mobility scooter users conceived as mavericks form a consensus of local practices (or practice-consensus) in early processes of niche innovations. in doing so, insights are offered into how maverick experimentation and innovation within the automobile transport regime help understand different drivers of transition, specifically mobility justice sustainability and commercial interests. elsevier b.v."
